rating_reviewcount,center1distance,center1label,center2distance,center2label,neighbourhood,price,starrating,accommodationtype,guestreviewsrating,hotel_id
6.0,0.8,City centre,3.6,Donauturm,Neubau,113,3.0,Hotel,3.7,22248
328.0,0.9,City centre,3.6,Donauturm,Neubau,110,4.0,Hotel,4.4,22249
123.0,1.0,City centre,3.7,Donauturm,Neubau,184,4.0,Hotel,4.6,22250
181.0,1.7,City centre,4.2,Donauturm,Neubau,33,2.0,Hotel,3.2,22251
77.0,1.0,City centre,3.8,Donauturm,Neubau,1012,3.0,Hotel,4.3,22252
308.0,1.7,City centre,4.4,Donauturm,Neubau,99,4.0,Hotel,4.1,22253
54.0,0.8,City centre,3.5,Donauturm,Neubau,122,3.0,Hotel,3.9,22254
544.0,1.7,City centre,4.3,Donauturm,Neubau,122,4.0,Hotel,4.3,22255
359.0,1.7,City centre,4.3,Donauturm,Neubau,105,4.0,Hotel,4,22256
3.0,1.7,City centre,4.2,Donauturm,Neubau,98,4.0,Apartment,5,22257
,1.4,City centre,4.1,Donauturm,Neubau,92,3.5,Apartment,nan,22258
98.0,1.4,City centre,4.0,Donauturm,Neubau,109,4.0,Hotel,4,22259
54.0,1.2,City centre,3.9,Donauturm,Neubau,105,3.0,Hotel,4.1,22260
22.0,2.0,City centre,4.4,Donauturm,Ottakring,133,2.0,Apartment,3.2,22265
4.0,2.3,City centre,4.6,Donauturm,Ottakring,133,2.5,Apartment,4.3,22266
69.0,3.1,City centre,5.2,Donauturm,Ottakring,52,3.0,Hotel,3.5,22268
17.0,1.8,City centre,4.1,Donauturm,Ottakring,134,2.0,Apartment,3.7,22269
83.0,4.1,City centre,6.0,Donauturm,Ottakring,80,4.0,Hotel,4,22271
36.0,2.9,City centre,5.3,Donauturm,Rudolfsheim-Funfhaus,91,2.0,Hotel,4,22272
,2.6,City centre,5.2,Donauturm,Rudolfsheim-Funfhaus,129,4.0,Apartment,nan,22273
153.0,1.9,City centre,4.6,Donauturm,Rudolfsheim-Funfhaus,47,2.0,Hostel,3.7,22274
136.0,1.8,City centre,4.4,Donauturm,Rudolfsheim-Funfhaus,70,4.0,Hotel,3.9,22275
17.0,2.3,City centre,4.9,Donauturm,Rudolfsheim-Funfhaus,88,3.5,Apartment,2.2,22276
156.0,1.9,City centre,4.5,Donauturm,Rudolfsheim-Funfhaus,136,3.0,Hotel,4.5,22277
81.0,2.1,City centre,4.8,Donauturm,Rudolfsheim-Funfhaus,80,3.0,Hotel,4.1,22279
40.0,2.3,City centre,4.9,Donauturm,Rudolfsheim-Funfhaus,131,2.0,Apartment,3.9,22280
54.0,2.4,City centre,4.9,Donauturm,Rudolfsheim-Funfhaus,81,3.0,Hotel,4.1,22281
13.0,2.5,City centre,5.1,Donauturm,Rudolfsheim-Funfhaus,133,2.0,Apartment,3.7,22284
225.0,3.6,City centre,6.1,Donauturm,Rudolfsheim-Funfhaus,66,4.0,Hotel,3.7,22285
144.0,2.8,City centre,5.5,Donauturm,Rudolfsheim-Funfhaus,77,3.0,Hotel,4,22286
2.0,1.8,City centre,4.4,Donauturm,Rudolfsheim-Funfhaus,121,3.0,Apartment,4.5,22287
525.0,2.1,City centre,4.8,Donauturm,Rudolfsheim-Funfhaus,69,4.0,Hotel,3.7,22288
113.0,2.1,City centre,4.8,Donauturm,Rudolfsheim-Funfhaus,83,3.0,Hotel,4.1,22289
10.0,1.9,City centre,4.6,Donauturm,Rudolfsheim-Funfhaus,53,2.0,Hostel,4.1,22290
2.0,2.7,City centre,5.3,Donauturm,Rudolfsheim-Funfhaus,133,3.5,Apartment,4,22291
78.0,1.8,City centre,4.5,Donauturm,Rudolfsheim-Funfhaus,77,4.0,Hotel,3.9,22293
69.0,2.0,City centre,4.7,Donauturm,Rudolfsheim-Funfhaus,48,2.0,Hostel,4.5,22294
314.0,2.9,City centre,5.5,Donauturm,Rudolfsheim-Funfhaus,142,4.5,Hotel,4.3,22295
134.0,1.7,City centre,4.3,Donauturm,Rudolfsheim-Funfhaus,121,4.0,Hotel,3.9,22296
38.0,3.6,City centre,6.2,Donauturm,Schonbrunn,68,3.0,Hotel,3.5,22299
65.0,2.0,City centre,4.8,Donauturm,Schonbrunn,63,3.0,Hotel,3.7,22300
92.0,2.1,City centre,4.9,Donauturm,Schonbrunn,101,3.0,Hotel,4.5,22301
100.0,2.6,City centre,5.4,Donauturm,Schonbrunn,75,4.0,Hotel,3.7,22302
910.0,3.6,City centre,6.2,Donauturm,Schonbrunn,156,4.0,Hotel,4.3,22303
79.0,3.7,City centre,6.3,Donauturm,Schonbrunn,56,3.0,Hotel,3.5,22304
1541.0,2.4,City centre,5.2,Donauturm,Schonbrunn,82,3.5,Hotel,4.5,22306
183.0,2.6,City centre,5.4,Donauturm,Schonbrunn,82,4.0,Hotel,4.4,22307
30.0,4.1,City centre,6.8,Donauturm,Schonbrunn,106,3.0,Hotel,3.7,22309
24.0,3.1,City centre,5.9,Donauturm,Schonbrunn,85,3.0,Hotel,2.7,22310
18.0,2.6,City centre,5.4,Donauturm,Schonbrunn,83,3.5,Hotel,4.5,22311
140.0,2.9,City centre,5.6,Donauturm,Schonbrunn,92,4.0,Hotel,4.1,22312
14.0,2.3,City centre,5.1,Donauturm,Schonbrunn,169,3.0,Apartment,4.3,22314
8.0,2.7,City centre,5.4,Donauturm,Schonbrunn,77,3.0,Guest House,3.5,22315
,4.3,City centre,6.7,Donauturm,Vienna,105,3.5,Apartment,nan,22324
2.0,2.6,City centre,5.4,Donauturm,Vienna,130,2.0,Apartment,4,22325
16.0,4.7,City centre,7.0,Donauturm,Vienna,110,3.0,Pension,4.3,22326
124.0,2.0,City centre,3.4,Donauturm,Vienna,117,4.0,Hotel,4,22328
9.0,5.4,City centre,8.1,Donauturm,Vienna,106,4.0,Pension,4.1,22330
33.0,3.9,City centre,6.4,Donauturm,Vienna,66,3.0,Hotel,3.7,22331
16.0,3.5,City centre,1.3,Donauturm,Vienna,266,5.0,Apartment,4.6,22332
57.0,2.4,City centre,3.7,Donauturm,Vienna,58,2.0,Hotel,3.5,22333
21.0,3.7,City centre,6.4,Donauturm,Vienna,81,3.5,Hotel,4.1,22334
160.0,3.5,City centre,6.2,Donauturm,Vienna,109,4.0,Hotel,4,22335
985.0,2.3,City centre,1.9,Donauturm,Vienna,114,4.5,Hotel,4.3,22336
69.0,2.3,City centre,1.1,Donauturm,Vienna,125,3.5,Apart-hotel,4.4,22337
51.0,1.7,City centre,1.8,Donauturm,Vienna,69,3.0,Guest House,3.7,22338
,2.6,City centre,2.3,Donauturm,Vienna,69,3.0,Apartment,nan,22339
72.0,3.1,City centre,5.9,Donauturm,Vienna,97,4.0,Hotel,4,22340
65.0,4.8,City centre,7.3,Donauturm,Vienna,74,4.0,Hotel,3.9,22341
147.0,3.7,City centre,6.4,Donauturm,Vienna,69,4.0,Hotel,3.7,22342
45.0,3.9,City centre,6.6,Donauturm,Vienna,83,4.0,Hotel,4,22343
50.0,3.9,City centre,6.6,Donauturm,Vienna,50,3.0,Hotel,3.9,22344
27.0,4.7,City centre,7.4,Donauturm,Vienna,130,2.0,Apartment,3.2,22345
2.0,3.7,City centre,6.2,Donauturm,Vienna,134,3.0,Apartment,3,22346
12.0,6.9,City centre,9.6,Donauturm,Vienna,134,3.0,Apartment,4,22347
26.0,3.7,City centre,5.0,Donauturm,Vienna,77,3.0,Hotel,4,22348
28.0,5.3,City centre,7.6,Donauturm,Vienna,102,3.0,Hotel,4,22349
30.0,2.5,City centre,5.2,Donauturm,Vienna,56,3.5,Apartment,3.2,22350
1.0,2.7,City centre,5.4,Donauturm,Vienna,185,3.0,Apartment,3,22351
12.0,6.6,City centre,9.4,Donauturm,Vienna,130,3.0,Hotel,4.4,22353
171.0,3.2,City centre,4.5,Donauturm,Vienna,78,3.0,Hotel,4.3,22354
34.0,3.3,City centre,4.6,Donauturm,Vienna,76,3.0,Hotel,3.7,22355
69.0,4.5,City centre,5.2,Donauturm,Vienna,68,4.0,Hotel,4,22356
84.0,2.7,City centre,3.7,Donauturm,Vienna,116,4.0,Hotel,4,22358
212.0,2.2,City centre,3.8,Donauturm,Vienna,172,4.0,Hotel,4.1,22359
15.0,5.2,City centre,7.6,Donauturm,Vienna,80,2.0,Hostel,3.2,22361
12.0,2.4,City centre,3.9,Donauturm,Vienna,87,3.0,Hotel,4,22362
89.0,4.6,City centre,7.4,Donauturm,Vienna,90,3.0,Hotel,3,22363
74.0,2.7,City centre,4.2,Donauturm,Vienna,100,3.5,Hotel,4.4,22364
3.0,3.1,City centre,4.6,Donauturm,Vienna,173,2.0,Apartment,3.2,22365
44.0,2.5,City centre,4.1,Donauturm,Vienna,92,2.0,Pension,3.2,22366
6.0,2.6,City centre,5.3,Donauturm,Vienna,133,2.0,Apartment,3.7,22369
3.0,5.1,City centre,7.7,Donauturm,Vienna,134,3.5,Apartment,3.2,22370
2.0,5.2,City centre,7.8,Donauturm,Vienna,209,3.0,Apartment,4,22371
44.0,1.6,City centre,1.8,Donauturm,Vienna,66,3.0,Apartment,4.4,22372
35.0,1.4,City centre,2.2,Donauturm,Vienna,114,4.0,Apartment,4.9,22373
186.0,1.9,City centre,2.7,Donauturm,Wahring,84,3.0,Hotel,4.4,22380
27.0,1.8,City centre,3.2,Donauturm,Wahring,124,2.0,Apartment,3.5,22381
45.0,2.1,City centre,3.0,Donauturm,Wahring,185,4.0,Hotel,4.4,22382
168.0,3.0,City centre,3.2,Donauturm,Wahring,85,4.0,Hotel,4,22384
1.0,1.9,City centre,3.1,Donauturm,Wahring,133,2.0,Apartment,4,22385
77.0,1.6,City centre,4.0,Donauturm,Wieden,110,3.5,Hotel,4.5,22386
72.0,1.6,City centre,4.0,Donauturm,Wieden,86,3.0,Hotel,4.3,22387
158.0,1.0,City centre,3.6,Donauturm,Wieden,118,4.0,Hotel,4.1,22388
15.0,0.9,City centre,3.6,Donauturm,Wieden,126,3.5,Hotel,4.5,22389
291.0,1.3,City centre,3.9,Donauturm,Wieden,92,3.0,Hotel,4.3,22390
317.0,0.8,City centre,3.5,Donauturm,Wieden,197,4.0,Hotel,4.8,22391
193.0,1.3,City centre,4.0,Donauturm,Wieden,39,2.5,Guest House,3.5,22393
280.0,1.2,City centre,3.9,Donauturm,Wieden,135,4.0,Hotel,4.5,22394
47.0,1.2,City centre,3.7,Donauturm,Wieden,125,4.0,Hotel,4.4,22395
7.0,1.0,City centre,3.8,Donauturm,Wieden,67,2.0,Hostel,3.4,22396
125.0,0.8,City centre,3.5,Donauturm,Wieden,134,4.0,Hotel,4.5,22397
34.0,0.9,City centre,3.7,Donauturm,Wieden,91,3.0,Hotel,3.5,22398
112.0,0.8,City centre,3.6,Donauturm,Wieden,110,3.0,Hotel,3.9,22399
1.0,0.9,City centre,3.6,Donauturm,Wieden,84,3.5,Apartment,5,22400
77.0,1.2,City centre,3.7,Donauturm,Wieden,100,3.0,Hotel,4,22401
572.0,1.5,City centre,3.9,Donauturm,Wieden,95,4.0,Hotel,4.1,22402
53.0,1.5,City centre,4.0,Donauturm,Wieden,73,3.0,Hotel,3.4,22403
2.0,1.5,City centre,3.8,Donauturm,Wieden,109,3.0,Apartment,5,22404
145.0,0.8,City centre,3.6,Donauturm,Wieden,185,5.0,Hotel,4.3,22406
112.0,1.0,City centre,3.7,Donauturm,Wieden,100,4.0,Hotel,4.4,22407
169.0,1.4,City centre,4.1,Donauturm,Wieden,58,3.0,Hotel,3.2,22408
80.0,0.7,City centre,3.5,Donauturm,Wieden,110,3.5,Apartment,4,22409
